country,hale,year
Afghanistan,-,-
Albania,0.3887853026390075,0.3887853026390075
Algeria,13.395925521850586,13.395925521850586
Andorra,-,-
Angola,24.41178131103516,24.41178131103516
Antigua and Barbuda,-,-
Argentina,4.949461460113525,4.949461460113525
Armenia,1.5231995582580566,1.5231995582580566
Australia,0.2496325820684433,0.2496325820684433
Austria,0.0985137671232223,0.0985137671232223
Azerbaijan,2.626649141311645,2.626649141311645
Bahamas,-,-
Bahrain,-,-
Bangladesh,125.5142059326172,125.5142059326172
Barbados,-,-
Belarus,0.1219393759965896,0.1219393759965896
Belgium,0.0231723897159099,0.0231723897159099
Belize,0.1556834131479263,0.1556834131479263
Benin,10.918521881103516,10.918521881103516
Bhutan,0.0655967742204666,0.0655967742204666
Bolivia (Plurinational State of),-,-
Bosnia and Herzegovina,0.2170242816209793,0.2170242816209793
Botswana,1.399078369140625,1.399078369140625
Brazil,49.4220085144043,49.4220085144043
Brunei Darussalam,-,-
Bulgaria,0.3989090919494629,0.3989090919494629
Burkina Faso,19.377809524536133,19.377809524536133
Burundi,12.21329116821289,12.21329116821289
Cabo Verde,0.2608085572719574,0.2608085572719574
Cambodia,-,-
Cameroon,20.45597648620605,20.45597648620605
Canada,0.2633294761180877,0.2633294761180877
Central African Republic,4.917840003967285,4.917840003967285
Chad,16.388320922851562,16.388320922851562
Chile,0.9189926981925964,0.9189926981925964
China,240.1011962890625,240.1011962890625
Colombia,18.004804611206055,18.004804611206055
Comoros,0.4880910515785217,0.4880910515785217
Congo,-,-
Cook Islands,-,-
Costa Rica,0.64840167760849,0.64840167760849
Côte d'Ivoire,-,-
Croatia,0.0698216557502746,0.0698216557502746
Cuba,-,-
Cyprus,0.0013173089828342,0.0013173089828342
Czechia,0.0315173156559467,0.0315173156559467
Democratic People's Republic of Korea,-,-
Democratic Republic of the Congo,-,-
Denmark,0.01757019944489,0.01757019944489
Djibouti,0.8280501961708069,0.8280501961708069
Dominica,-,-
Dominican Republic,2.4146077632904053,2.4146077632904053
Ecuador,5.322104454040527,5.322104454040527
Egypt,-,-
El Salvador,1.7270877361297607,1.7270877361297607
Equatorial Guinea,-,-
Eritrea,-,-
Estonia,0.0093165235593914,0.0093165235593914
Ethiopia,94.41522216796876,94.41522216796876
Fiji,0.4812368750572204,0.4812368750572204
Finland,0.0055410168133676,0.0055410168133676
France,0.3392140567302704,0.3392140567302704
Gabon,0.6729527711868286,0.6729527711868286
Gambia,-,-
Georgia,1.77086341381073,1.77086341381073
Germany,0.4158043563365936,0.4158043563365936
Ghana,23.045042037963867,23.045042037963867
Greece,0.3065069913864136,0.3065069913864136
Grenada,0.0159653574228286,0.0159653574228286
Guatemala,8.687675476074219,8.687675476074219
Guinea,11.02774429321289,11.02774429321289
Guinea-Bissau,1.8344273567199707,1.8344273567199707
Guyana,0.4321896731853485,0.4321896731853485
Haiti,8.639863967895508,8.639863967895508
Honduras,4.922098159790039,4.922098159790039
Hungary,0.2136176079511642,0.2136176079511642
Iceland,0,0
India,1156.81884765625,1156.81884765625
Indonesia,173.7754669189453,173.7754669189453
Iran (Islamic Republic of),-,-
Iraq,8.312746047973633,8.312746047973633
Ireland,0.0150994919240474,0.0150994919240474
Israel,0.3279989957809448,0.3279989957809448
Italy,1.0052639245986938,1.0052639245986938
Jamaica,0.3944377899169922,0.3944377899169922
Japan,1.7842299938201904,1.7842299938201904
Jordan,0.5983574986457825,0.5983574986457825
Kazakhstan,2.0928218364715576,2.0928218364715576
Kenya,48.5890998840332,48.5890998840332
Kiribati,0.0853815674781799,0.0853815674781799
Kuwait,-,-
Kyrgyzstan,-,-
Lao People's Democratic Republic,-,-
Latvia,0.0395742915570735,0.0395742915570735
Lebanon,0.0866323411464691,0.0866323411464691
Lesotho,1.7472591400146484,1.7472591400146484
Liberia,4.22773551940918,4.22773551940918
Libya,-,-
Lithuania,0.0336100682616233,0.0336100682616233
Luxembourg,0.0019201920367777,0.0019201920367777
Madagascar,23.04011344909668,23.04011344909668
Malawi,18.512056350708008,18.512056350708008
Malaysia,0.7884951829910278,0.7884951829910278
Maldives,0.0190215092152357,0.0190215092152357
Mali,19.23183250427246,19.23183250427246
Malta,0.0041226558387279,0.0041226558387279
Marshall Islands,0.0138622047379612,0.0138622047379612
Mauritania,3.038041353225708,3.038041353225708
Mauritius,0.1707597523927688,0.1707597523927688
Mexico,28.03765869140625,28.03765869140625
Micronesia (Federated States of),-,-
Monaco,-,-
Mongolia,0.758858323097229,0.758858323097229
