feature,matcher,sweep_type,param_value,num_kp1,num_kp2,num_matches,num_inliers,inlier_ratio,mean_reproj_err,t_extract_ms,t_match_ms
superpoint,nn,pair,0.0,2048,1993,1494,1235,0.8266398929049531,nan,2033.347300006426,15.46730000700336
superpoint,lightglue,pair,0.0,2048,1993,1529,1515,0.9908436886854153,nan,2033.347300006426,401.13760001258925
disk,nn,pair,0.0,2048,2048,1418,1376,0.9703808180535967,nan,1705.283600007533,13.406099998974241
disk,lightglue,pair,0.0,2048,2048,1427,1380,0.9670637701471618,nan,1705.283600007533,503.4434999979567
aliked,nn,pair,0.0,2048,1946,1368,1291,0.9437134502923976,nan,927.276600006735,12.214000002131797
aliked,lightglue,pair,0.0,2048,1946,1404,1251,0.8910256410256411,nan,927.276600006735,518.2690000074217
sift,nn,pair,0.0,2048,2048,1375,1117,0.8123636363636364,nan,2620.2221999992616,15.853000004426576
sift,lightglue,pair,0.0,2048,2048,1320,1183,0.8962121212121212,nan,2620.2221999992616,968.5789999930421
